Modelo,Clasificación
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Básico/Advanced MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel S Line/Adrenalin/Black line MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel S line/Black line MY22,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. Básico/Advanced MY21,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. MY 20,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. MY19,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. S line/Adrenalin/Black line MY21,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. S line/Adrenalin/Black Line MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel.Básico/Advanced MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic 7 vel Básico/Advanced MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic 7 vel Básico/Advanced MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic 7 vel S Line/Adrenalin/Black line MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic 7 vel S line/Adrenalin/Black Line MY21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic MY 20,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic MY19,Clasificación: D
Audi A1 SPORTBACK 35 TFSI 110 kW (150 CV) 6 vel. MY19,Clasificación: D
Audi A1 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic 7 vel Básico/Advanced MY21,Clasificación: D
Audi A1 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic 7 vel. Adrenalin/ Adrenalin Black line MY23,Clasificación: D
Audi A1 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic 7 vel. S line/Adrenalin/Black Line MY21,Clasificación: D
Audi A1 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic MY 20,Clasificación: D
Audi A1 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic MY19,Clasificación: E
Audi A1 SPORTBACK 40 TFSI 147 kW (200 CV) S tronic 6 vel S line/Black Line MY21,Clasificación: F
Audi A1 SPORTBACK 40 TFSI 147 kW (200 CV) S tronic MY 20,Clasificación: F
Audi A1 SPORTBACK 40 TFSI 147 kW (200 CV) S tronic MY19,Clasificación: F
Audi A1 SPORTBACK 40 TFSI 152 kW (207 CV) S tronic 6 vel. Competition MY23,Clasificación: E
Audi A3 40 e-tron 40 e-tron 150 kW (204 CV) S tronic MY 20,Clasificación: A
Audi A3 Cabrio 35 TFSI 110 kW (150 CV) 6 vel. MY19,Clasificación: D
Audi A3 Cabrio 35 TFSI 110 kW (150 CV) S tronic MY19,Clasificación: D
Audi A3 Cabrio 40 TFSI 140 kW (190 CV) S tronic MY19,Clasificación: D
Audi A3 Cabrio 40 TFSI quattro 140 kW (190 CV) S tronic MY19,Clasificación: E
Audi A3 CABRIOLET 35 TFSI 110 kW (150 CV) 6 vel. MY 20,Clasificación: C
Audi A3 CABRIOLET 35 TFSI 110 kW (150 CV) S tronic MY 20,Clasificación: D
Audi A3 CABRIOLET 40 TFSI quattro 140 kW (190 CV) S tronic MY 20,Clasificación: E
Audi A3 LIMOUSINE 30 TDI 85 kW (116 CV) 6 vel. MY 20,Clasificación: D
Audi A3 LIMOUSINE 30 TFSI 85 kW (116 CV) 6 vel. MY 20,Clasificación: B
Audi A3 LIMOUSINE 35 TDI 110 kW (150 CV) 6 vel. MY 20,Clasificación: C
Audi A3 LIMOUSINE 35 TDI 110 kW (150 CV) S tronic MY 20,Clasificación: D
Audi A3 LIMOUSINE 35 TFSI 110 kW (150 CV) 6 vel. MY 20,Clasificación: C
Audi A3 LIMOUSINE 35 TFSI 110 kW (150 CV) S tronic MY 20,Clasificación: C
Audi A3 LIMOUSINE 40 TFSI quattro 140 kW (190 CV) S tronic MY 20,Clasificación: D
Audi A3 Sedan 30 TDI 85 kW (116 CV) 6 vel. MY19,Clasificación: D
Audi A3 Sedan 30 TDI 85 kW (116 CV) S tronic MY19,Clasificación: D
Audi A3 Sedan 30 TFSI 85 kW (116 CV) 6 vel. MY19,Clasificación: B
Audi A3 Sedan 30 TFSI 85 kW (116 CV) S tronic MY19,Clasificación: C
Audi A3 Sedan 35 TDI 110 kW (150 CV) 6 vel. MY 20,Clasificación: C
Audi A3 Sedan 35 TDI 110 kW (150 CV) S tronic Launch edition MY 21,Clasificación: B
Audi A3 Sedan 35 TDI 110 kW (150 CV) S tronic MY19,Clasificación: D
Audi A3 Sedan 35 TFSI 110 kW (150 CV) 6 vel. Launch edition MY 21,Clasificación: B
Audi A3 Sedan 35 TFSI 110 kW (150 CV) 6 vel. MY19,Clasificación: C
Audi A3 Sedan 35 TFSI 110 kW (150 CV) S tronic Launch edition MY 21,Clasificación: B
Audi A3 Sedan 35 TFSI 110 kW (150 CV) S tronic MY19,Clasificación: C
Audi A3 Sedan 40 TFSI 140 kW (190 CV) S tronic MY19,Clasificación: D
Audi A3 Sedan 40 TFSI quattro 140 kW (190 CV) S tronic MY19,Clasificación: D
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY21,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 CV) 6 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. Genuine/S line /Black Line MY21,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) 6 vel. MY21,Clasificación: A
Audi A3 Sedan NF 30 TDI 85 kW (116 CV) 6 vel. S line/ Black line MY23,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. Advanced MY22,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. S line/Black line MY22,Clasificación: B
Audi A3 Sedan NF 30 TDI 85 kW (116 cv) S tronic 7 vel. S line/Black line MY23,Clasificación: B
Audi A3 Sedan NF 30 TFSI 81 kW (110 cv) 6 vel. Advanced MY21,Clasificación: A
Audi A3 Sedan NF 30 TFSI 81 kW (110 CV) 6 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 30 TFSI 81 kW (110 cv) 6 vel. Genuine/S Line/Black Line MY21,Clasificación: B
Audi A3 Sedan NF 30 TFSI 81 kW (110 cv) 6 vel. S line/Black line MY22,Clasificación: B
Audi A3 Sedan NF 30 TFSI 81 kW (110 cv) 6 vel. S line/Black line MY23,Clasificación: B
Audi A3 Sedan NF 30 TFSI 81 kW (110 cv) S tronic 7 vel. Advanced MY21,Clasificación: A
Audi A3 Sedan NF 30 TFSI 81 kW (110 CV) S tronic 7 vel. Advanced MY23,Clasificación: A
Audi A3 Sedan NF 30 TFSI 81 kW (110 CV) S tronic 7 vel. S line/ Black line MY23,Clasificación: A
Audi A3 Sedan NF 35 TDI 110 kW (150 CV) 6 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY22,Clasificación: B
Audi A3 Sedan NF 35 TDI 110 kW (150 cv) 6 vel. S line/Black line MY23,Clasificación: B
Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Advanced MY21,Clasificación: B
Audi A3 Sedan NF 35 TDI 110 kW (150 CV) S tronic 7 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. Genuine/S Line/Black Line MY21,Clasificación: C
Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. MY21,Clasificación: B
Audi A3 Sedan NF 35 TDI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY23,Clasificación: C
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. Advanced MY21,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. Advanced MY22,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. Genuine/S Line/Black Line MY21,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. MY21,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. S line/Black line MY22,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) 6 vel. S line/Black line MY23,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. Advanced MY21,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 CV) S tronic 7 vel. Advanced MY23,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. Genuine/S line /Black Line MY21,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. MY21,Clasificación: A
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. S line/Black line MY22,Clasificación: B
Audi A3 Sedan NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. S line/Black line MY23,Clasificación: B
Audi A3 Sedan NF RS 3 quattro Sedan 294 kW (400 CV) S tronic 7 vel. MY23,Clasificación: F
Audi A3 Sedan NF S3 228 kW (310 cv) S tronic 7 vel. S MY21,Clasificación: E
Audi A3 Sedan NF S3 quattro Sedan 228 kW (310 CV) S tronic 7 vel. MY23,Clasificación: E
Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. Launch edition MY 21,Clasificación: B
Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. MY 20,Clasificación: D
Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. MY19,Clasificación: D
Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) S tronic MY19,Clasificación: D
Audi A3 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. MY 20,Clasificación: C
Audi A3 SPORTBACK 30 TFSI 85 kW (116 CV) 6 vel. MY19,Clasificación: C
Audi A3 SPORTBACK 30 TFSI 85 kW (116 CV) S tronic MY19,Clasificación: C
Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) 6 vel. MY 20,Clasificación: D
Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) S tronic Launch edition MY 21,Clasificación: C
Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) S tronic MY 20,Clasificación: E
Audi A3 SPORTBACK 35 TDI 110 kW (150 CV) S tronic MY19,Clasificación: E
Audi A3 SPORTBACK 35 TFSI 110 kW (150 CV) 6 vel. Launch edition MY 21,Clasificación: C
Audi A3 SPORTBACK 35 TFSI 110 kW (150 CV) 6 vel. MY 20,Clasificación: C
Audi A3 SPORTBACK 35 TFSI 110 kW (150 CV) 6 vel. MY19,Clasificación: D
Audi A3 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic MY 20,Clasificación: D
Audi A3 SPORTBACK 35 TFSI 110 kW (150 CV) S tronic MY19,Clasificación: D
Audi A3 SPORTBACK 40 TFSI 140 kW (190 CV) S tronic MY19,Clasificación: D
Audi A3 SPORTBACK 40 TFSI quattro 140 kW (190 CV) S tronic MY 20,Clasificación: E
Audi A3 SPORTBACK 40 TFSI quattro 140 kW (190 CV) S tronic MY19,Clasificación: E
Audi A3 SPORTBACK 45 TFSIe Black line competición MY21,Clasificación: A
Audi A3 SPORTBACK G-TRON 30 g-tron 96 kW (131CV) S tronic MY 20,Clasificación: Sin clasificación
Audi A3 SPORTBACK G-TRON 30 g-tron design 96 kW (131CV) S tronic MY 20,Clasificación: Sin clasificación
Audi A3 SPORTBACK G-TRON 30 g-tron S line 96 kW (131CV) S tronic MY 20,Clasificación: Sin clasificación
Audi A3 SPORTBACK g-tron 96 kW (131CV) S tronic MY19,Clasificación: Sin clasificación
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY21,Clasificación: B
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY22,Clasificación: B
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Advanced MY23,Clasificación: B
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. Genuine / S line / Black Line MY21,Clasificación: C
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. MY21,Clasificación: B
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. S line/Black line MY22,Clasificación: C
Audi A3 Sportback NF 30 TDI 85 kW (116 cv) 6 vel. S line/Black line MY23,Clasificación: C
Audi A3 Sportback NF 30 TDI 85 kW (116 CV) S tronic 7 vel. Advanced MY23,Clasificación: C
Audi A3 Sportback NF 30 TDI 85 kW (116 CV) S tronic 7 vel. S line/Black line MY23,Clasificación: C
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) 6 vel. Advanced MY21,Clasificación: B
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) 6 vel. Advanced MY22,Clasificación: B
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) 6 vel. Advanced MY23,Clasificación: B
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) 6 vel. Genuine / S line / Black Line MY21,Clasificación: B
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) 6 vel. MY21,Clasificación: B
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) 6 vel. S line/Black line MY23,Clasificación: B
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) S tronic 7 vel. Advanced MY21,Clasificación: A
Audi A3 Sportback NF 30 TFSI 81 kW (110 cv) S tronic 7 vel. Advanced MY22,Clasificación: A
