Modelo;Motorización;Categoría;Nº de Plazas;MTMA;Potencia eléctrica (kW);Consumo eléctrico (kWh/100km);Capacidad de la batería (kWh);Autonomía eléctrica (km)
Audi A6 AVANT 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Básico MY23;Híbridos enchufables;M1;5;2675;100;20.1;17.9;66
Audi A6 AVANT 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2675;100;20.2;17.9;65
Audi A6 AVANT 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2675;100;20.2;17.9;65
Audi A6 AVANT 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Sport MY23;Híbridos enchufables;M1;5;2675;100;20.1;17.9;66
Audi A6 AVANT 55 TFSI e quattro-ultra 270 kW (367 CV) S tronic 7 vel. Competition MY21;Híbridos enchufables;M1;5;2675;105;187;14.1;46
Audi A6 AVANT 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. Black line MY23;Híbridos enchufables;M1;5;2675;100;20.3;17.9;65
Audi A6 AVANT 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. Black line MY24;Híbridos enchufables;M1;5;2675;100;20.3;17.9;65
Audi A6 BERLINA 50 TFSI e quattro-ultra 220 kW (299 CV) S tronic 7 vel. Design MY21;Híbridos enchufables;M1;5;2610;105;173;14.1;54
Audi A6 BERLINA 50 TFSI e quattro-ultra 220 kW (299 CV) S tronic 7 vel. MY21;Híbridos enchufables;M1;5;2610;105;169;14.1;56
Audi A6 BERLINA 50 TFSI e quattro-ultra 220 kW (299 CV) S tronic 7 vel. Sport MY21;Híbridos enchufables;M1;5;2610;105;173;14.1;54
Audi A6 BERLINA 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Básico MY22;Híbridos enchufables;M1;5;2610;105;18.4;14.4;68
Audi A6 BERLINA 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Black Line MY22;Híbridos enchufables;M1;5;2610;105;18.3;14.4;68
Audi A6 BERLINA 55 TFSI e quattro-ultra 270 kW (367 CV) S tronic 7 vel. Competition MY21;Híbridos enchufables;M1;5;2610;105;178;14.1;54
Audi A6 Sedan 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Advanced MY24;Híbridos enchufables;M1;5;2610;100;20.1;17.9;66
Audi A6 Sedan 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Básico MY23;Híbridos enchufables;M1;5;2610;100;20.1;17.9;66
Audi A6 Sedan 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Básico MY24;Híbridos enchufables;M1;5;2610;100;20.1;17.9;66
Audi A6 Sedan 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. S line/Black Line MY23;Híbridos enchufables;M1;5;2610;100;20.2;17.9;65
Audi A6 Sedan 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. S line/Black Line MY24;Híbridos enchufables;M1;5;2610;100;20.2;17.9;65
Audi A6 Sedan 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Sport MY23;Híbridos enchufables;M1;5;2610;100;20.1;17.9;66
Audi A6 Sedan 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. Black line MY23;Híbridos enchufables;M1;5;2610;100;20.3;17.9;65
Audi A6 Sedan 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. Black line MY24;Híbridos enchufables;M1;5;2610;100;20.3;17.9;65
Audi A7 50 TFSI e quattro 220 kW (299 CV) S tronic MY 20;Híbridos enchufables;M1;5;2650;105;176;0;52
Audi A7 55 TFSI e 55 TFSI e quattro 270 kW (367 CV) S tronic MY 20;Híbridos enchufables;M1;4;2650;105;187;0;46
Audi A7 SPORTBACK 50 TFSI e quattro-ultra 220 kW (299 CV) S tronic 7 vel. Black Line MY21;Híbridos enchufables;M1;5;2650;105;177;14.1;52
Audi A7 SPORTBACK 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Basic MY23;Híbridos enchufables;M1;5;2650;100;20.9;17.9;63
Audi A7 SPORTBACK 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2650;100;20.9;17.9;63
Audi A7 SPORTBACK 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2650;100;20.9;17.9;63
Audi A7 SPORTBACK 55 TFSI e quattro-ultra 270 kW (367 CV) S tronic 7 vel. Black Line MY21;Híbridos enchufables;M1;5;2650;105;187;14.1;46
Audi A7 SPORTBACK 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. Black line MY23;Híbridos enchufables;M1;5;2650;100;20.9;17.9;63
Audi A7 SPORTBACK 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. Black line MY24;Híbridos enchufables;M1;5;2650;100;20.9;17.9;63
Audi A8 60 TFSI e quattro 330 kW (449 CV) tiptronic 8 vel. MY21;Híbridos enchufables;M1;5;2890;100;210;14.1;44
Audi A8 60 TFSI e quattro 330 kW (449 CV) tiptronic MY 20;Híbridos enchufables;M1;5;2890;100;208;0;44
Audi A8 60 TFSI e quattro 330 kW (449 CV) tiptronic MY 20;Híbridos enchufables;M1;5;2920;100;212;0;43
Audi A8 60 TFSIe quattro 340 kW (462 CV) Triptonic 8 vel. Básico MY23;Híbridos enchufables;M1;5;2910;105;21.9;17.9;60
Audi A8 60 TFSIe quattro 340 kW (462 CV) Triptonic 8 vel. Básico MY24;Híbridos enchufables;M1;5;2910;105;21.9;17.9;60
Audi A8 L 60 TFSIe quattro 340 kW (462 CV) Triptonic 8 vel. Básico MY23;Híbridos enchufables;M1;5;2910;105;22;17.9;60
Audi A8 L 60 TFSIe quattro 340 kW (462 CV) Triptonic 8 vel. Básico MY24;Híbridos enchufables;M1;5;2910;105;22;17.9;60
Audi A8L 60 TFSI e quattro 330 kW (449 CV) tiptronic 8 vel. MY21;Híbridos enchufables;M1;5;2950;100;212;14.1;44
Audi Audi e-tron 55 quattro 300 kW Advanced/sport/Black line MY 20;Eléctricos puros;M1;5;3130;300;245.75;0;381
Audi Audi e-tron 55 quattro 300 kW MY 20;Eléctricos puros;M1;5;3130;300;228.81;95;411
Audi Audi e-tron 55 quattro Advanced 300 kW MY 20;Eléctricos puros;M1;5;3130;300;250.17;95;374
Audi Audi e-tron 55 quattro S line 300 kW MY 20;Eléctricos puros;M1;5;3150;300;258.86;95;371
Audi Canarias A3 Sportback Edition 40 TFSIe 150 kW (204 CV) S tronic;Híbridos enchufables;M1;5;2065;80;14.1;13;66
Audi Canarias A3 Sportback S line 40 TFSIe 150 kW (204 CV) S tronic;Híbridos enchufables;M1;5;2065;80;15.1;13;60
Audi Canarias A3 Sportback Sport 40 TFSIe 150 kW (204 CV) S tronic;Híbridos enchufables;M1;5;2065;80;14.4;13;64
Audi Canarias Q3 Edition 45 TFSIe 180 kW (245 CV) S tronic;Híbridos enchufables;M1;5;2320;85;16;13;51
Audi Canarias Q3 S line 45 TFSIe 180 kW (245 CV) S tronic;Híbridos enchufables;M1;5;2320;85;16.2;13;51
Audi Canarias Q3 Sportback Edition 45 TFSIe 180 kW (245 CV) S tronic;Híbridos enchufables;M1;5;2320;85;16.1;13;50
Audi Canarias Q3 Sportback S line 45 TFSIe 180 kW (245 CV) S tronic;Híbridos enchufables;M1;5;2320;85;17.1;13;50
Audi Canarias Q4 e-tron 35 S line 125 kW (170 CV);Eléctricos puros;M1;5;2475;125;17.9;55;325
Audi Canarias Q4 e-tron 35 Sport 125 kW (170 CV);Eléctricos puros;M1;5;2475;125;17.4;55;335
Audi Canarias Q4 e-tron 40 S line 150 kW (204 CV);Eléctricos puros;M1;5;2640;150;18.2;82;495
Audi Canarias Q4 e-tron 40 Sport 150 kW (204 CV);Eléctricos puros;M1;5;2640;150;17.6;82;511
Audi Canarias Q4 e-tron 50 S line 220 kW (299 CV) quattro;Eléctricos puros;M1;5;2720;220;18.7;82;469
Audi Canarias Q4 Sportback e-tron 35 S line 125 kW (170 CV);Eléctricos puros;M1;5;2475;125;17.4;55;334
Audi Canarias Q4 Sportback e-tron 35 Sport 125 kW (170 CV);Eléctricos puros;M1;5;2475;125;17.1;55;340
Audi Canarias Q4 Sportback e-tron 40 S line 150 kW (204 CV);Eléctricos puros;M1;5;2640;150;17.5;82;512
Audi Canarias Q4 Sportback e-tron 40 Sport 150 kW (204 CV);Eléctricos puros;M1;5;2640;150;17.2;82;521
Audi Canarias Q4 Sportback e-tron 50 S line 220 kW (299 CV) quattro;Eléctricos puros;M1;5;2720;220;18.2;82;481
Audi Canarias Q5 Edition 50 TFSIe 220 kW (299 CV) S tronic quattro-ultra;Híbridos enchufables;M1;5;2660;105;20.2;17.9;62
Audi Canarias Q5 Sport 50 TFSIe 220 kW (299 CV) S tronic quattro-ultra;Híbridos enchufables;M1;5;2660;105;20.2;17.9;62
Audi e-tron 50 quattro 230 kW Advanced MY21;Eléctricos puros;M1;5;3040;230;224;71;314
Audi e-tron 50 quattro 230 kW MY21;Eléctricos puros;M1;5;3040;230;224;71;339
Audi e-tron 50 quattro 230 kW S line/Black line MY21;Eléctricos puros;M1;5;3040;230;224;71;313
Audi e-tron 55 quattro 300 kW Advanced MY21;Eléctricos puros;M1;5;3170;300;244;95;404
Audi e-tron 55 quattro 300 kW Advanced MY22;Eléctricos puros;M1;5;3140;300;24.16;85;403
Audi e-tron 55 quattro 300 kW MY21;Eléctricos puros;M1;5;3170;300;228;95;437
Audi e-tron 55 quattro 300 kW S line MY22;Eléctricos puros;M1;5;3140;300;24.59;85;394
Audi e-tron 55 quattro 300 kW S line/Black line MY21;Eléctricos puros;M1;5;3170;300;244;95;403
Audi e-tron e-tron S quattro 370 kW S MY22;Eléctricos puros;M1;5;3280;370;27.16;85;360
Audi e-tron GT 60 quattro 350 kW (476 CV) e-tron GT MY23;Eléctricos puros;M1;5;2840;350;20.1;86;492
Audi e-tron GT 60 quattro 350 kW (476 CV) e-tron GT MY24;Eléctricos puros;M1;5;2840;350;20.1;86;492
Audi e-tron GT 60 quattro 350 kW e-tron GT MY22;Eléctricos puros;M1;5;2840;350;20.15;85;482
Audi e-tron sportback 50 quattro 230 kW Advanced MY21;Eléctricos puros;M1;5;3040;230;216;71;321
Audi e-tron sportback 50 quattro 230 kW MY21;Eléctricos puros;M1;5;3040;230;216;71;346
Audi e-tron sportback 50 quattro 230 kW S line/Black Line MY21;Eléctricos puros;M1;5;3040;230;216;71;323
Audi e-tron sportback 55 quattro 230 kW Advanced MY21;Eléctricos puros;M1;5;3170;300;240;95;414
Audi e-tron sportback 55 quattro 300 kW MY21;Eléctricos puros;M1;5;3170;300;224;95;446
Audi e-tron sportback 55 quattro 300 kW S line MY22;Eléctricos puros;M1;5;3170;300;23.73;85;411
Audi e-tron sportback 55 quattro 300 kW S line/Black line MY21;Eléctricos puros;M1;5;3170;300;238;95;415
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Advanced MY22;Híbridos enchufables;M1;5;2320;86;16;10.4;51
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Advanced MY23;Híbridos enchufables;M1;5;2320;85;16.7;13;58
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Advanced MY24;Híbridos enchufables;M1;5;2320;85;16.7;13;58
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Básico MY22;Híbridos enchufables;M1;5;2320;86;16;0;51
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Básico/ Advanced MY22;Híbridos enchufables;M1;5;2320;86;16;0;51
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. S line/Black line MY22;Híbridos enchufables;M1;5;2320;86;16.2;10.4;50
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2320;85;17.6;13;50
Audi Q3 45 TFSI e 180 kW (245 CV) S tronic 6 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2320;85;17.6;13;50
Audi Q3 45 TFSI e 180KW (245CV) S tronic S line/Launch edition MY21;Híbridos enchufables;M1;5;2320;86;172;13;46
Audi Q3 Sportback 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Advanced MY23;Híbridos enchufables;M1;5;2320;86;17;10.4;48
Audi Q3 Sportback 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Advanced MY24;Híbridos enchufables;M1;5;2320;85;16.9;13;50
Audi Q3 Sportback 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Básico/ Advanced MY22;Híbridos enchufables;M1;5;2320;86;16.3;10.4;50
Audi Q3 Sportback 45 TFSI e 180 kW (245 CV) S tronic 6 vel. S line/Black line MY22;Híbridos enchufables;M1;5;2320;86;17.1;10.4;46
Audi Q3 Sportback 45 TFSI e 180 kW (245 CV) S tronic 6 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2320;86;17;10.4;46
Audi Q3 Sportback 45 TFSI e 180 kW (245 CV) S tronic 6 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2320;85;17.5;13;46
Audi Q3 Sportback 45 TFSI e 180KW (245CV) S tronic S line/Launch edition MY21;Híbridos enchufables;M1;5;2320;86;172;13;46
Audi Q4 35 e-tron MY22 Básico/Advanced/S Line/Black Line;Eléctricos puros;M1;5;2475;125;17.4;51.5;335
Audi Q4 40 e-tron MY22 Básico/Advanced/S Line/Black Line;Eléctricos puros;M1;5;2640;150;17.9;76.6;503
Audi Q4 50 e-tron MY22 Advanced/S Line/Black Line;Eléctricos puros;M1;5;2720;220;19.3;76.6;456
Audi Q4 e-tron 35 125 KW Advanced/ S line/Black line MY22;Eléctricos puros;M1;5;2475;125;17.41;51.5;335
Audi Q4 e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY24;Eléctricos puros;M1;5;2640;150;17;76.6;525
Audi Q4 e-tron 40 150 KW Advanced/ S line/Black line MY22;Eléctricos puros;M1;5;2640;150;17.66;76.6;510
Audi Q4 e-tron 40 150 KW Advanced/ S line/Black line MY23;Eléctricos puros;M1;5;2640;150;17.66;76.6;519
Audi Q4 e-tron 45 210 KW (282CV) Advanced MY24;Eléctricos puros;M1;5;2660;210;16.6;77;533
Audi Q4 e-tron 45 210 KW (282CV) Black line MY24;Eléctricos puros;M1;5;2660;210;17.1;77;518
Audi Q4 e-tron 45 210 KW (282CV) S line MY24;Eléctricos puros;M1;5;2660;210;17;77;520
Audi Q4 e-tron 50 quattro 220 kW (299 CV) Advanced/ S line/Black line MY23;Eléctricos puros;M1;5;2720;220;17.5;76.6;503
Audi Q4 e-tron 50 quattro 220 kW (299 CV) Advanced/ S line/Black line MY24;Eléctricos puros;M1;5;2720;220;17.5;76.6;508
Audi Q4 e-tron 50 quattro 220 KW S line/Black line MY22;Eléctricos puros;M1;5;2720;220;19.34;76.6;456
Audi Q4 e-tron 55 quattro 250 KW (335CV) Advanced MY24;Eléctricos puros;M1;5;2750;250;17.1;77;514
Audi Q4 e-tron 55 quattro 250 KW (335CV) Black line MY24;Eléctricos puros;M1;5;2750;250;17.6;77;502
Audi Q4 e-tron 55 quattro 250 KW (335CV) S line MY24;Eléctricos puros;M1;5;2750;250;17.5;77;504
Audi Q4 Sportback 35 e-tron MY22 Básico/Advanced/S Line/Black Line;Eléctricos puros;M1;5;2475;125;18;51.5;323
Audi Q4 Sportback 50 e-tron MY22 Advanced/S Line/Black Line;Eléctricos puros;M1;5;2720;220;17.9;76.6;488
Audi Q4 Sportback e-tron 35 125 KW Advanced/ S line/Black line MY22;Eléctricos puros;M1;5;2475;125;18.07;51.5;323
Audi Q4 Sportback e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY23;Eléctricos puros;M1;5;2625;150;17;76.6;519
Audi Q4 Sportback e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY24;Eléctricos puros;M1;5;2625;150;17;76.6;538
Audi Q4 Sportback e-tron 40 150 KW Advanced/ S line/Black line MY22;Eléctricos puros;M1;5;2625;150;18.09;76.6;499
Audi Q4 Sportback e-tron 45 210 KW (282CV) Advanced MY24;Eléctricos puros;M1;5;2660;210;16.1;77;548
Audi Q4 Sportback e-tron 45 210 KW (282CV) Black line MY24;Eléctricos puros;M1;5;2660;210;16.5;77;538
Audi Q4 Sportback e-tron 45 210 KW (282CV) S line MY24;Eléctricos puros;M1;5;2660;210;16.4;77;541
Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY22;Eléctricos puros;M1;5;2475;220;17.7;76.6;497
Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY23;Eléctricos puros;M1;5;2475;220;17.1;76.6;512
